Scientific name	Authority	Status
Nothocercus julius	"(Bonaparte, 1854)"	R
Nothocercus bonapartei	"Gray, 1867"	R
Nothocercus nigrocapillus	"(G. R. Gray, 1867)"	R
Tinamus tao	"Temminck, 1815"	R
Tinamus solitarius	"(Vieillot, 1819)"	R
Tinamus osgoodi	"Conover, 1949"	R
Tinamus major	"(Gmelin, 1789)"	R
Tinamus guttatus	"Pelzeln, 1863"	R
Crypturellus berlepschi	"Rothschild, 1897"	R
Crypturellus cinereus	"(Gmelin, 1789)"	R
Crypturellus soui	"(Hermann, 1783)"	R
Crypturellus ptaritepui	"Zimmer & Phelps, 1945"	R
Crypturellus obsoletus	"(Temminck, 1815)"	R
Crypturellus cinnamomeus	"(Lesson, 1842)"	R
Crypturellus undulatus	"(Temminck, 1815)"	R
Crypturellus transfasciatus	"(Sclater & Salvin, 1878)"	R
Crypturellus strigulosus	"(Temminck, 1815)"	R
Crypturellus boucardi	"(Sclater, 1859)"	R
Crypturellus kerriae	"(Chapman, 1915)"	R
Crypturellus erythropus	"(Pelzeln, 1863)"	R
Crypturellus erythropus	"(Pelzeln, 1863)"	NR
Crypturellus columbianus	"(Salvadori, 1895)"	NR
Crypturellus saltuarius	"Wetmore, 1950"	NR
Crypturellus idoneus	"(Todd, 1919)"	NR
Crypturellus duidae	"Zimmer, 1938"	R
Crypturellus noctivagus	"(Wied, 1820)"	R
Crypturellus atrocapillus	"(Tschudi, 1844)"	R
Crypturellus variegatus	"(Gmelin, 1789)"	R
Crypturellus brevirostris	"(Pelzeln, 1863)"	R
Crypturellus bartletti	"(Sclater & Salvin, 1873)"	R
Crypturellus parvirostris	"(Wagler, 1827)"	R
Crypturellus casiquiare	"(Chapman, 1929)"	R
Crypturellus tataupa	"(Temminck, 1815)"	R
Rhynchotus rufescens	"(Temminck, 1815)"	NR
Rhynchotus rufescens	"(Temminck, 1815)"	R
Rhynchotus maculicollis	"G.R. Gray, 1867"	R
Nothoprocta taczanowskii	"Sclater & Salvin, 1875"	R
Nothoprocta kalinowskii	"Berlepsch & Stolzmann, 1901"	NR
Nothoprocta ornata	"(Gray, 1867)"	R
Nothoprocta pentlandii	"(Gray, 1867)"	R
Nothoprocta cinerascens	"(Burmeister, 1860)"	R
Nothoprocta perdicaria	"(Kittlitz, 1830)"	R
Nothoprocta curvirostris	"Sclater & Salvin, 1873"	R
Nothura darwinii	"Gray, 1867"	R
Nothura chacoensis	"Conover, 1937"	R
Nothura maculosa	"(Temminck, 1815)"	R
Nothura minor	"(Spix, 1825)"	R
Nothura boraquira	"(Spix, 1825)"	R
Taoniscus nanus	"(Temminck, 1815)"	R
Eudromia elegans	"Geoffroy Saint-Hilaire, 1832"	R
Eudromia formosa	"(Lillo, 1905)"	R
Tinamotis pentlandii	"Vigors, 1837"	R
Tinamotis ingoufi	"Oustalet, 1890"	R
Struthio camelus	"Linnaeus, 1758"	R
Struthio molybdophanes	"Reichenow, 1883"	UR
Rhea americana	"(Linnaeus, 1758)"	R
Rhea nana	"Lydekker, 1894"	NR
Rhea pennata	"d'Orbigny, 1834"	R
Pterocnemia tarapacensis	"Chubb, 1913"	NR
Casuarius casuarius	"(Linnaeus, 1758)"	R
Casuarius bennetti	"Gould, 1857"	R
Casuarius unappendiculatus	"Blyth, 1860"	R
Dromaius novaehollandiae	"(Latham, 1790)"	NR
Dromaius novaehollandiae	"(Latham, 1790)"	R
Dromaius ater	"(Vieillot, 1817)"	R
Dromaius baudinianus	"S. A. Parker, 1984"	R
Apteryx australis	"Shaw, 1813"	NR
Apteryx australis	"Shaw, 1813"	R
Apteryx mantelli	"Bartlett, 1851"	R
Apteryx owenii	"Gould, 1847"	R
Apteryx haastii	"Potts, 1872"	R
Apteryx rowi		UR
Alectura lathami	"Gray, 1831"	R
Aepypodius arfakianus	"(Salvadori, 1877)"	R
Aepypodius bruijnii	"(Oustalet, 1880)"	R
Talegalla cuvieri	"Lesson, 1828"	R
Talegalla fuscirostris	"Salvadori, 1877"	R
Talegalla jobiensis	"Meyer, 1874"	R
Leipoa ocellata	"Gould, 1840"	R
Macrocephalon maleo	"M�ller, 1846"	R
Eulipoa wallacei	"Gray, 1860"	R
Megapodius nicobariensis	"Blyth, 1846"	R
Megapodius cumingii	"Dillwyn, 1853"	R
Megapodius bernsteinii	"Schlegel, 1866"	R
Megapodius reinwardt	"Dumont, 1823"	NR
Megapodius reinwardt	"Dumont, 1823"	R
Megapodius tenimberensis	"P.L. Sclater, 1883"	R
Megapodius freycinet	"Gaimard, 1823"	NR
Megapodius freycinet	"Gaimard, 1823"	R
Megapodius geelvinkianus	"Meyer, 1874"	R
Megapodius affinis	"Meyer, 1874"	R
Megapodius eremita	"Hartlaub, 1867"	R
Megapodius layardi	"Tristram, 1879"	R
Megapodius laperouse	"Gaimard, 1823"	R
Megapodius pritchardii	"Gray, 1864"	R
Megapodius stairi		NR
Megapodius forstenii	"G. R. Gray, 1847"	NR
Penelopina nigra	"(Fraser, 1852)"	R
Chamaepetes unicolor	"Salvin, 1867"	R
Chamaepetes goudotii	"(Lesson, 1828)"	R
Penelope argyrotis	"(Bonaparte, 1856)"	R
Penelope barbata	"Chapman, 1921"	R
Penelope ortoni	"Salvin, 1874"	R
Penelope montagnii	"(Bonaparte, 1856)"	R
Penelope marail	"(M�ller, 1776)"	R
Penelope superciliaris	"Temminck, 1815"	R
Penelope dabbenei	"Hellmayr & Conover, 1942"	R
Penelope purpurascens	"Wagler, 1830"	R
Penelope perspicax	"Bangs, 1911"	R
Penelope albipennis	"Taczanowski, 1878"	R
Penelope jacquacu	"Spix, 1825"	R
Penelope obscura	"Temminck, 1815"	R
Penelope pileata	"Wagler, 1830"	R
Penelope ochrogaster	"Pelzeln, 1870"	R
Penelope jacucaca	"Spix, 1825"	R
Pipile pipile	"(Jacquin, 1784)"	R
Pipile cumanensis	"(Jacquin, 1784)"	R
Pipile cujubi	"(Pelzeln, 1858)"	R
Pipile jacutinga	"(Spix, 1825)"	R
Aburria aburri	"(Lesson, 1828)"	R
Ortalis vetula	"(Wagler, 1830)"	R
Ortalis cinereiceps	"Gray, 1867"	R
Ortalis garrula	"(Humboldt, 1805)"	R
Ortalis ruficauda	"Jardine, 1847"	R
Ortalis erythroptera	"Sclater & Salvin, 1870"	R
Ortalis wagleri	"Gray, 1867"	R
Ortalis poliocephala	"(Wagler, 1830)"	R
Ortalis canicollis	"(Wagler, 1830)"	R
Ortalis leucogastra	"(Gould, 1843)"	R
Ortalis guttata	"(Spix, 1825)"	NR
