Common Name	Scientific Name	Family	Guild	Body length log	Wing log	Tail log	Tarsus log	Bill length log	Bill width log	Bill depth log
Alberts Lyrebird	Menura alberti	Menuridae	Insectivore	2.954242509	2.427080188	2.598448516	2.028571253	1.597519678	1.009535877	0.920436407
Australian King-Parrot	Alisterus scapularis	Psittacidae	Granivore	2.62838893	2.327256735	2.319460016	1.342817315	1.335858911	1.123524981	1.317645543
Australian Logrunner	Orthonyx temminckii	Orthonychidae	Insectivore	2.278753601	1.955302823	1.936764998	1.484299839	1.182414652	0.572871602	0.661812686
Australian Raven	Corvus coronoides	Corvidae	Predator	2.698970004	2.555457217	2.327665387	1.798305282	1.759788675	1.28829395	1.303282476
Bassian Thrush	Zoothera lunulata	Turdidae	Insectivore	2.439332694	2.127266818	2.042575512	1.52530401	1.504878459	0.782472624	0.892651034
Bell Miner	Manorina melanophrys	Meliphagidae	Insectivore	2.267171728	1.972202838	1.917768002	1.353146546	1.230959556	0.545307116	0.695481676
Black-faced Cuckoo-shrike	Coracina novaehollandiae	Campephagidae	Insectivore	2.511883361	2.29578694	2.15715444	1.410777233	1.446039836	1.043126398	1.024074987
Brown Cuckoo-Dove	Macropygia amboinensis	Columbidae	Frugivore	2.62324929	2.290034611	2.312917481	1.422425676	1.334252642	0.785329835	0.758911892
Brown Gerygone	Gerygone mouki	Acanthizidae	Insectivore	2.021189299	1.688864568	1.647871765	1.245512668	1.004321374	0.385606274	0.336459734
Brown Thornbill	Acanthiza pusilla	Acanthizidae	Insectivore	2	1.700270937	1.647871765	1.29666519	1.015778756	0.315970345	0.387389826
Crescent Honeyeater	Phylidonyris pyrrhopterus	Meliphagidae	Nectarivore	2.190331698	1.857754522	1.8162413	1.2999429	1.314077992	0.40654018	0.562292864
Crimson Rosella	Platycercus elegans	Psittacidae	Granivore	2.562292864	2.244029589	2.280464547	1.331427297	1.255272505	1.095169351	1.339451441
Eastern Shrike-tit	Falcunculus frontatus	Pachycephalidae	Insectivore	2.230448921	1.957607287	1.88337749	1.30427505	1.341236623	0.764922985	1.011993115
Eastern Spinebill	Acanthorhynchus tenuirostris	Meliphagidae	Nectarivore	2.161368002	1.814580516	1.756255649	1.286680969	1.446070936	0.385606274	0.46834733
Eastern Whipbird	Psophodes olivaceus	Psophodidae	Insectivore	2.423245874	1.990116766	2.139564266	1.507855872	1.372543801	0.695481676	0.892094603
Eastern Yellow Robin	Eopsaltria australis	Petroicidae	Insectivore	2.190331698	1.919862254	1.804820679	1.340444115	1.208441356	0.606381365	0.595496222
Fan-tailed Cuckoo	Cacomantis flabelliformis	Cuculidae	Insectivore	2.414973348	2.153814864	2.139721705	1.293362555	1.325925956	0.747877706	0.703978825
Glossy Black-Cockatoo	Calyptorhynchus lathami	Cacatuidae	Granivore	2.681241237	2.540954809	2.348791468	1.319106059	1.656098202	1.45866806	1.718053046
Golden Whistler	Pachycephala pectoralis	Pachycephalidae	Insectivore	2.243038049	1.967079734	1.8509524	1.335457901	1.220892249	0.663700925	0.720159303
Green Catbird	Ailuroedus crassirostris	Ptilonorhynchidae	Frugivore	2.498310554	2.212653621	2.076458388	1.667452953	1.499714569	1.009535877	1.126196368
Grey Fantail	Rhipidura albiscapa	Rhipiduridae	Insectivore	2.190331698	1.870228279	1.934599438	1.2219356	1.043755127	0.487138375	0.432969291
Grey Shrike-thrush	Colluricincla harmonica	Pachycephalidae	Predator	2.397940009	2.09985322	1.990782692	1.48784512	1.405517107	0.711807229	0.876794976
Large-billed Scrubwren	Sericornis magnirostra	Acanthizidae	Insectivore	2.06069784	1.737987326	1.656098202	1.30427505	1.158060794	0.442479769	0.477121255
Laughing Kookaburra	Dacelo novaeguineae	Halcyonidae	Predator	2.643452676	2.333850145	2.186532565	1.433769834	1.821932555	1.366161368	1.383635868
Lewins Honeyeater	Meliphaga lewinii	Meliphagidae	Frugivore	2.301029996	1.991447598	1.951094557	1.396199347	1.342225229	0.525044807	0.703291378
New Holland Honeyeater	Phylidonyris novaehollandiae	Meliphagidae	Nectarivore	2.255272505	1.881669908	1.882922791	1.343408594	1.3872118	0.50242712	0.63748973
Pale-yellow Robin	Tregellasia capito	Petroicidae	Insectivore	2.113943352	1.897352134	1.74390155	1.319106059	1.146500129	0.707570176	0.46329561
Pied Currawong	Strepera graculina	Artamidae	Predator	2.681241237	2.407050815	2.289365952	1.707995746	1.799271608	1.124178055	1.306639441
Red-browed Finch	Neochmia temporalis	Estrildidae	Granivore	2.06069784	1.718086295	1.671172843	1.173186268	1.041787319	0.72916479	0.818225894
